S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-07-16,"1,367.00","1,390.00","1,355.40","1,364.36",0.31,"17,440.00","23,970,479.80"
2,2025-07-15,"1,360.00","1,364.00","1,341.10","1,360.17",0.66,"14,569.00","19,670,674.70"
3,2025-07-14,"1,356.00","1,383.00","1,350.00","1,351.29",-1.07,"10,654.00","14,459,483.40"
4,2025-07-13,"1,404.40","1,430.00","1,365.00","1,365.88",-0.8,"12,068.00","16,696,607.60"
5,2025-07-10,"1,426.80","1,426.80","1,375.00","1,376.89",-1.57,"22,397.00","31,117,323.40"
6,2025-07-09,"1,385.10","1,440.00","1,385.10","1,398.90",-0.95,"17,381.00","24,359,650.40"
7,2025-07-08,"1,387.00","1,430.00","1,387.00","1,412.30",0.73,"11,625.00","16,410,616.90"
8,2025-07-07,"1,369.00","1,450.00","1,353.10","1,402.02",3.59,"43,660.00","61,551,649.50"
9,2025-07-06,"1,345.00","1,375.00","1,344.00","1,353.38",0.13,"23,272.00","31,520,211.70"
10,2025-07-03,"1,362.00","1,393.50","1,349.00","1,351.66",-1.07,"21,303.00","29,021,076.40"
11,2025-07-02,"1,355.00","1,381.00","1,355.00","1,366.25",0.85,"12,158.00","16,620,833.80"
12,2025-07-01,"1,344.00","1,396.00","1,344.00","1,354.80",-0.37,"19,145.00","26,010,736.60"
13,2025-06-30,"1,391.00","1,392.90","1,352.00","1,359.86",-0.72,"11,719.00","15,964,237.00"
14,2025-06-29,"1,375.00","1,396.00","1,351.00","1,369.68",-2.01,"16,424.00","22,415,316.60"
15,2025-06-26,"1,482.70","1,482.70","1,391.60","1,397.79",-3.85,"23,027.00","32,653,376.30"
16,2025-06-25,"1,345.00","1,484.00","1,345.00","1,453.69",6.19,"33,763.00","48,684,853.70"
17,2025-06-24,"1,324.00","1,395.00","1,320.00","1,368.89",3.33,"25,663.00","35,116,730.20"
18,2025-06-23,"1,332.00","1,367.70","1,311.10","1,324.75",-0.91,"16,170.00","21,531,153.20"
19,2025-06-22,"1,373.50","1,400.00","1,330.00","1,336.95",-4.6,"26,507.00","36,078,479.80"
20,2025-06-19,"1,439.70","1,452.00","1,388.80","1,401.48",-2.65,"26,002.00","36,554,920.00"
21,2025-06-18,"1,445.00","1,473.00","1,417.00","1,439.70",-0.39,"23,828.00","34,310,322.40"
22,2025-06-17,"1,500.00","1,500.00","1,435.00","1,445.27",-3.21,"24,372.00","35,441,171.40"
23,2025-06-16,"1,500.00","1,541.00","1,488.00","1,493.14",-1.88,"24,121.00","36,296,257.00"
24,2025-06-15,"1,535.00","1,570.00","1,511.00","1,521.77",-0.88,"17,077.00","26,319,230.50"
25,2025-06-12,"1,560.00","1,587.00","1,531.00","1,535.22",-3.31,"29,931.00","46,287,655.30"
26,2025-06-11,"1,657.00","1,657.00","1,585.10","1,587.70",-2.32,"16,983.00","27,239,600.90"
27,2025-06-10,"1,640.00","1,662.00","1,600.00","1,625.46",0.69,"22,910.00","37,537,843.30"
28,2025-06-09,"1,579.10","1,641.10","1,521.00","1,614.25",2.23,"36,658.00","58,504,358.60"
29,2025-06-08,"1,685.00","1,693.00","1,563.10","1,579.00",-6.8,"55,475.00","89,406,912.10"
30,2025-06-05,"1,750.30","1,760.00","1,676.00","1,694.13",-3.21,"40,175.00","68,886,177.00"
31,2025-06-04,"1,750.00","1,764.00","1,716.00","1,750.30",1.43,"29,753.00","51,915,710.40"
32,2025-06-03,"1,690.00","1,764.60","1,680.00","1,725.62",2.05,"37,905.00","65,736,043.80"
33,2025-06-02,"1,705.00","1,749.00","1,657.00","1,690.88",-1.13,"71,911.00","120,892,775.80"
34,2025-05-28,"1,785.10","1,802.00","1,700.00","1,710.15",-5.1,"47,473.00","82,614,205.70"
35,2025-05-27,"1,800.00","1,830.00","1,798.00","1,802.05",-1.71,"36,957.00","66,932,613.30"
36,2025-05-26,"1,908.00","1,908.00","1,829.10","1,833.34",-2.0,"52,290.00","96,829,701.70"
37,2025-05-25,"1,875.00","1,902.00","1,828.00","1,870.84",-0.58,"28,325.00","52,699,637.70"
38,2025-05-22,"1,820.00","1,935.90","1,792.00","1,881.76",2.32,"75,386.00","139,675,765.20"
39,2025-05-21,"1,950.00","2,000.00","1,830.00","1,839.02",-3.89,"41,132.00","76,916,545.80"
40,2025-05-20,"1,878.00","1,928.70","1,830.10","1,913.50",-0.12,"56,183.00","105,624,846.20"
41,2025-05-19,"2,001.00","2,050.00","1,903.10","1,915.75",-4.39,"69,459.00","136,794,436.00"
42,2025-05-18,"2,108.20","2,108.20","1,999.00","2,003.72",-6.86,"78,228.00","159,444,229.40"
43,2025-05-15,"2,025.00","2,228.00","1,953.20","2,151.20",4.12,"88,593.00","185,884,964.40"
44,2025-05-14,"2,279.40","2,458.20","2,015.20","2,066.15",-7.55,"246,209.00","513,268,681.60"
45,2025-05-13,"2,072.30","2,234.80","2,072.30","2,234.80",10.0,"19,150.00","42,792,079.00"
46,2025-05-11,"1,820.40","2,031.70","1,820.40","2,031.70",10.0,"3,320.00","6,738,170.00"
47,2025-05-08,"1,678.90","1,847.00","1,678.90","1,847.00",10.0,"1,790.00","3,297,783.00"
48,2025-05-07,"1,526.00","1,679.10","1,526.00","1,679.10",10.0,"1,330.00","2,228,658.00"
49,2025-05-06,"1,415.50","1,526.50","1,415.50","1,526.50",9.99,950.00,"1,447,454.00"
50,2025-05-05,"1,239.30","1,387.80","1,239.30","1,387.80",9.99,870.00,"1,202,282.00"
51,2025-05-04,"1,169.90","1,261.70","1,169.90","1,261.70",10.0,"1,110.00","1,398,233.00"
52,2025-04-30,"1,061.30","1,147.00","1,061.30","1,147.00",9.99,810.00,"926,930.00"
53,2025-04-29,963.70,"1,042.80",963.70,"1,042.80",10.0,740.00,"769,676.00"
54,2025-04-28,873.70,948.00,873.70,948.00,9.99,480.00,"453,102.00"
55,2025-04-27,783.60,861.90,783.60,861.90,9.99,580.00,"496,797.00"
56,2025-04-24,704.30,783.60,704.30,783.60,9.99,440.00,"342,186.00"
57,2025-04-23,660.60,712.40,660.60,712.40,9.99,580.00,"410,367.00"
58,2025-04-22,579.70,647.70,579.70,647.70,9.98,440.00,"282,686.00"
59,2025-04-21,537.70,588.90,537.70,588.90,9.99,310.00,"180,066.00"
60,2025-04-20,496.50,535.40,496.50,535.40,9.98,440.00,"234,622.00"
61,2025-04-17,451.00,486.80,451.00,486.80,9.99,180.00,"86,023.00"
62,2025-04-16,410.00,442.60,410.00,442.60,9.99,240.00,"104,439.00"
63,2025-04-15,372.80,402.40,372.80,402.40,9.98,250.00,"99,571.00"
64,2025-04-13,335.20,365.90,335.20,365.90,9.98,180.00,"64,701.00"
65,2025-04-10,302.50,332.70,302.50,332.70,9.98,210.00,"68,364.00"
