S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-11-25,672.00,673.20,644.00,673.20,0.18,"57,419.00","37,492,487.50"
2,2025-11-24,689.2,702.9,662.5,672.0,-4.44,"79,607.00","54,067,914.40"
3,2025-11-23,694.6,703.2,664.0,703.2,-0.78,"61,699.00","42,058,282.40"
4,2025-11-20,691.3,730.0,665.0,708.7,0.47,"70,596.00","48,114,129.40"
5,2025-11-19,654.1,705.4,628.2,705.4,10.0,"61,386.00","40,925,671.00"
6,2025-11-18,583.0,641.3,560.1,641.3,10.0,"40,588.00","24,953,664.10"
7,2025-11-17,546.0,597.3,536.5,583.0,7.37,"62,515.00","35,875,128.10"
8,2025-11-16,560.0,590.5,523.9,543.0,-4.37,"78,776.00","43,943,498.00"
9,2025-11-13,506.0,567.8,500.0,567.8,10.0,"40,560.00","22,001,397.00"
10,2025-11-12,573.6,596.7,511.0,516.2,-8.21,"125,480.00","66,038,057.00"
11,2025-11-11,515.0,562.4,515.0,562.4,9.99,"5,830.00","3,277,472.00"
12,2025-11-10,474.1,511.3,474.1,511.3,9.98,"1,180.00","602,418.00"
13,2025-11-09,431.1,464.9,431.1,464.9,9.98,610.0,"282,758.00"
14,2025-11-06,391.9,422.7,391.9,422.7,9.99,330.0,"138,424.00"
15,2025-11-05,356.3,384.3,356.3,384.3,9.99,190.0,"72,328.00"
16,2025-11-04,317.7,349.4,317.7,349.4,9.98,110.0,"36,858.00"
