S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-12-15,"2,157.80","2,327.00","2,157.80","2,327.00",10.00,450.00,"1,043,003.00"
2,2025-12-14,"1,961.60","2,115.50","1,961.60","2,115.50",10.0,460.0,"969,358.00"
3,2025-12-11,"1,723.70","1,923.20","1,723.70","1,923.20",10.0,310.0,"589,523.00"
4,2025-12-10,"1,621.20","1,748.40","1,621.20","1,748.40",10.0,130.0,"224,173.00"
5,2025-12-09,"1,444.90","1,589.50","1,444.90","1,589.50",10.0,140.0,"218,240.00"
6,2025-12-08,"1,313.60","1,445.00","1,313.60","1,445.00",9.99,150.0,"212,853.00"
7,2025-12-07,"1,194.10","1,313.70","1,194.10","1,313.70",10.0,190.0,"244,857.00"
8,2025-12-03,"1,083.20","1,194.30","1,083.20","1,194.30",9.99,110.0,"128,021.00"
9,2025-12-02,986.90,"1,085.80",986.90,"1,085.80",10.0,70.0,"73,071.00"
10,2025-12-01,896.20,987.10,896.20,987.10,10.0,130.0,"124,693.00"
11,2025-11-30,809.30,897.40,809.30,897.40,9.99,160.0,"139,903.00"
12,2025-11-27,727.60,815.90,727.60,815.90,9.99,80.0,"62,209.00"
13,2025-11-26,661.30,741.80,661.30,741.80,9.99,70.0,"49,695.00"
14,2025-11-25,611.00,674.40,611.00,674.40,8.23,60.0,"38,537.00"
15,2025-11-24,577.80,623.10,577.80,623.10,9.99,60.0,"35,820.00"
16,2025-11-23,534.00,566.50,534.00,566.50,8.19,40.0,"22,005.00"
17,2025-11-19,477.70,523.60,477.70,523.60,8.18,50.0,"25,117.00"
18,2025-11-18,474.60,484.00,474.60,484.00,4.02,20.0,"9,586.00"
19,2025-11-17,433.20,465.30,433.20,465.30,6.09,60.0,"26,684.00"
20,2025-11-13,419.90,438.60,419.90,438.60,4.03,30.0,"12,885.00"
21,2025-11-12,413.40,421.60,413.40,421.60,3.49,20.0,"8,350.00"
22,2025-11-11,391.70,407.40,391.70,407.40,4.01,30.0,"11,986.00"
