S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-12-23,768.20,816.00,766.00,806.00,7.01,"391,371.00","309,817,308.50"
2,2025-12-22,676.7,753.2,676.7,753.2,9.99,"64,350.00","48,465,144.00"
3,2025-12-21,635.0,684.8,635.0,684.8,9.99,"1,840.00","1,258,313.00"
4,2025-12-18,577.2,622.6,577.2,622.6,10.0,"1,070.00","664,611.00"
5,2025-12-17,524.8,566.0,524.8,566.0,9.99,640.0,"360,815.00"
6,2025-12-16,461.8,514.6,461.8,514.6,9.98,560.0,"286,427.00"
7,2025-12-15,433.9,467.9,433.9,467.9,9.99,460.0,"214,398.00"
8,2025-12-14,379.5,425.4,379.5,425.4,9.98,500.0,"210,646.00"
9,2025-12-11,358.7,386.8,358.7,386.8,9.98,320.0,"122,242.00"
10,2025-12-10,319.8,351.7,319.8,351.7,9.97,300.0,"102,647.00"
