S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2024-10-27,301.10,301.10,301.10,301.10,-1.99,"225,000.00","67,747,500.00"
2,2023-12-18,307.20,307.20,307.20,307.20,0.00,"100,000.00","30,720,000.00"
3,2023-11-05,307.20,307.20,307.20,307.20,4.14,"150,000.00","46,080,000.00"
4,2023-10-19,295.00,295.00,295.00,295.00,0.00,"200,000.00","59,000,000.00"
5,2023-05-04,474.00,474.00,474.00,474.00,0.00,"150,000.00","45,000,000.00"
6,2022-08-07,464.00,474.00,474.00,474.00,0.00,"28,589.00","19,827,870.00"
7,2021-02-11,681.00,681.00,681.00,681.00,1.95,26.00,"17,706.00"
8,2021-02-01,668.00,668.00,668.00,668.00,1.98,10.00,"6,680.00"
9,2021-01-31,655.00,655.00,655.00,655.00,1.87,10.00,"6,550.00"
10,2019-07-07,775.00,775.00,768.00,772.00,-2.28,"8,328.00","6,407,221.00"
11,2019-07-04,780.00,792.00,777.00,790.00,1.94,"6,757.00","5,277,062.00"
12,2019-07-03,777.00,779.00,770.00,775.00,0.13,"7,835.00","6,055,573.00"
13,2019-07-02,768.00,775.00,766.00,774.00,0.13,"9,596.00","7,373,063.00"
14,2019-07-01,775.00,777.00,771.00,773.00,-0.90,"6,654.00","5,149,458.00"
15,2019-06-30,785.00,785.00,780.00,780.00,-1.27,"2,278.00","1,780,540.00"
16,2019-06-27,792.00,795.00,785.00,790.00,-1.86,"1,639.00","1,293,745.00"
17,2019-06-26,785.00,805.00,785.00,805.00,2.55,"1,183.00","935,495.00"
18,2019-06-25,790.00,790.00,785.00,785.00,0.00,"2,814.00","2,209,880.00"
19,2019-06-24,786.00,790.00,784.00,785.00,-0.63,"9,352.00","7,349,846.00"
20,2019-06-23,790.00,790.00,790.00,790.00,0.00,355.00,"280,450.00"
21,2019-06-20,795.00,800.00,790.00,790.00,0.38,"3,563.00","2,819,135.00"
22,2019-06-19,791.00,794.00,786.00,787.00,-0.63,"4,121.00","3,254,085.00"
23,2019-06-18,797.00,797.00,791.00,792.00,-0.75,"6,389.00","5,069,260.00"
24,2019-06-17,805.00,807.00,798.00,798.00,-0.37,"2,560.00","2,050,429.00"
25,2019-06-16,809.00,809.00,798.00,801.00,0.13,"8,117.00","6,494,738.00"
26,2019-06-13,799.00,802.00,799.00,800.00,-0.37,"6,605.00","5,286,450.00"
27,2019-06-12,815.00,815.00,796.00,803.00,-0.25,"3,925.00","3,149,265.00"
28,2019-06-11,801.00,815.00,793.00,805.00,0.63,"11,174.00","8,879,669.00"
29,2019-06-10,815.00,815.00,800.00,800.00,-0.37,"24,345.00","19,556,304.00"
30,2019-06-06,805.00,806.00,803.00,803.00,-0.25,"2,941.00","2,365,513.00"
31,2019-06-04,805.00,810.00,802.00,805.00,-0.12,"3,889.00","3,126,805.00"
32,2019-06-03,816.00,816.00,805.00,806.00,-1.23,"20,729.00","16,691,825.00"
33,2019-06-02,820.00,820.00,816.00,816.00,-1.45,659.00,"539,804.00"
34,2019-05-30,829.00,845.00,817.00,828.00,1.85,"13,074.00","10,806,350.00"
35,2019-05-29,807.00,813.00,806.00,813.00,0.99,"1,000.00","808,540.00"
36,2019-05-28,820.00,820.00,805.00,805.00,0.00,881.00,"709,905.00"
37,2019-05-27,819.00,819.00,805.00,805.00,0.25,"2,270.00","1,830,190.00"
38,2019-05-26,818.00,818.00,803.00,803.00,-1.11,"6,169.00","4,975,132.00"
39,2019-05-23,818.00,818.00,812.00,812.00,0.12,"2,597.00","2,117,034.00"
40,2019-05-22,813.00,816.00,809.00,811.00,0.12,"4,625.00","3,755,258.00"
41,2019-05-21,824.00,824.00,805.00,810.00,0.25,"3,524.00","2,846,671.00"
42,2019-05-20,818.00,818.00,806.00,808.00,-1.22,"4,410.00","3,568,998.00"
