S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-04-20,606.20,606.20,598.10,598.33,-0.90,"11,819.00","7,098,653.70"
2,2025-04-17,597.2,606.9,597.2,603.74,0.67,"19,854.00","11,957,562.80"
3,2025-04-16,611.9,611.9,598.0,599.71,-0.15,"7,002.00","4,200,323.90"
4,2025-04-15,605.0,606.0,594.0,600.64,1.06,"12,031.00","7,253,824.90"
5,2025-04-13,596.5,600.0,590.3,594.34,-0.23,"8,483.00","5,057,857.80"
6,2025-04-10,603.0,608.0,595.0,595.72,-1.02,"16,428.00","9,809,734.90"
7,2025-04-09,601.0,608.0,598.0,601.88,0.31,"7,519.00","4,536,515.60"
8,2025-04-08,600.1,601.0,589.2,600.03,0.1,"17,999.00","10,695,151.90"
9,2025-04-07,620.0,620.0,596.5,599.45,-1.7,"19,416.00","11,652,662.20"
10,2025-04-03,625.0,625.8,605.3,609.8,-1.17,"13,323.00","8,181,462.30"
11,2025-04-02,609.0,624.9,605.1,617.01,1.46,"22,712.00","14,017,926.30"
12,2025-04-01,616.0,625.0,597.0,608.11,-1.99,"15,632.00","9,451,444.10"
13,2025-03-30,605.0,625.0,605.0,620.44,2.15,"17,145.00","10,585,732.30"
